teacher_id,school_id,district_id,triplet_id,year,tested,interviewed,treatment,SD,quota,certified,PAID,TARGET,NOTELIGIBLE,ngscore,S1,pursue,secondjob,secondjobhours,base_pay,additional_pay,certification_pay,totalpay,problems,happy,absent,quota_year
2175,179,10,60,2,tested,interviewed,control,primary school,not in quota,not certified,0,1,0,-1.5343783,no bachelor's degree,0,no second job,0,2.3561,.36930001,0,2.7254,yes,yes,0,
2180,179,10,60,2,not tested,not interviewed,control,primary school,,,,,,,,,,,,,,,,,,
2181,179,10,60,2,not tested,not interviewed,control,primary school,,,,,,,,,,,,,,,,,,
2182,179,10,60,2,tested,interviewed,control,primary school,not in quota,not certified,0,1,0,-1.2048795,no bachelor's degree,0,second job,0,2.9494,.801916,0,3.7513161,yes,no,1,
2183,179,10,60,2,not tested,not interviewed,control,primary school,,,,,,,,,,,,,,,,,,
2174,179,10,60,2,not tested,not interviewed,control,primary school,,,,,,,,,,,,,,,,,,
2146,175,10,59,3,tested,interviewed,control,primary school,not in quota,not certified,0,0,1,-2.1686194,no bachelor's degree,0,no second job,0,1.4471,.21089999,0,1.658,yes,no,0,
2148,175,10,59,3,tested,interviewed,control,primary school,not in quota,not certified,0,0,1,-1.8611637,no bachelor's degree,0,second job,3,1.6558,.8502,0,2.506,yes,no,0,
2149,175,10,59,3,tested,not interviewed,control,primary school,,,,0,1,-1.0925245,,,,,,,,,,,,
2150,175,10,59,3,not tested,not interviewed,control,primary school,,,,1,0,,,,,,,,,,,,,
2147,175,10,59,3,tested,not interviewed,control,primary school,,,,,,-1.5537081,,,,,,,,,,,,
2145,175,10,59,3,tested,interviewed,control,primary school,not in quota,not certified,0,0,1,-1.2462525,no bachelor's degree,0,no second job,0,1.5027,.54729998,0,2.05,yes,no,0,
2144,175,10,59,3,not tested,not interviewed,control,primary school,,,,,,,,,,,,,,,,,,
2151,175,10,59,3,not tested,interviewed,control,primary school,not in quota,not certified,0,0,0,,no bachelor's degree,0,no second job,0,1.20216,.46083999,0,1.663,yes,no,0,
2191,180,10,60,2,tested,interviewed,treatment,primary school,not in quota,not certified,0,1,0,-2.1933761,no bachelor's degree,0,no second job,0,2.6868,.78189802,0,3.468698,yes,no,1,
2190,180,10,60,2,not tested,interviewed,treatment,primary school,not in quota,not certified,0,0,1,,no bachelor's degree,0,no second job,0,1.4418,.34294999,0,1.78475,no,yes,1,
2193,180,10,60,2,not tested,interviewed,treatment,primary school,not in quota,not certified,0,0,1,,bachelor's degree,0,no second job,0,1.8301,.40342501,0,2.233525,yes,yes,1,
2192,180,10,60,2,tested,interviewed,treatment,primary school,not in quota,not certified,0,0,1,-.54588163,no bachelor's degree,1,second job,4,2.1018,.41568801,0,2.517488,yes,yes,1,
2195,180,10,60,2,not tested,not interviewed,treatment,primary school,,,,1,0,,,,,,,,,,,,,
2196,180,10,60,2,tested,interviewed,treatment,primary school,in quota,certified,1,1,0,-1.2048795,no bachelor's degree,0,second job,0,2.4983,.43130001,2.123555,5.0531549,yes,yes,1,2009
2189,180,10,60,2,not tested,not interviewed,treatment,primary school,,,0,0,1,,,,,,,,,,,,,
2187,180,10,60,2,tested,interviewed,treatment,primary school,not in quota,not certified,0,0,1,-1.04013,no bachelor's degree,0,no second job,0,1.4771,.56606901,0,2.043169,yes,yes,1,
2194,180,10,60,2,tested,interviewed,treatment,primary school,not in quota,not certified,0,1,0,-1.04013,no bachelor's degree,0,no second job,0,2.5778,1.023465,0,3.601265,no,yes,0,
2188,180,10,60,2,not tested,not interviewed,treatment,primary school,,,,,,,,,,,,,,,,,,
2186,180,10,60,2,not tested,not interviewed,treatment,primary school,,,0,0,1,,,,,,,,,,,,,
2118,169,10,57,2,tested,interviewed,treatment,primary school,in quota,certified,1,1,0,-1.2048795,no bachelor's degree,0,second job,2,2.4732,1.207055,1.875,5.5552549,yes,yes,0,2009
2115,169,10,57,2,tested,interviewed,treatment,primary school,not in quota,not certified,0,0,1,-.0516335,no bachelor's degree,0,no second job,0,2.2996,.81814402,0,3.117744,yes,yes,0,
2117,169,10,57,2,not tested,not interviewed,treatment,primary school,,,,,,,,,,,,,,,,,,
2119,169,10,57,2,tested,interviewed,treatment,primary school,not in quota,not certified,0,0,1,-.71063119,no bachelor's degree,0,second job,18,.7,0,0,.69999999,yes,no,0,
2113,169,10,57,2,tested,interviewed,treatment,primary school,not in quota,not certified,0,0,1,-1.3696289,no bachelor's degree,0,second job,14,0,0,0,0,yes,yes,0,
2120,169,10,57,2,not tested,not interviewed,treatment,primary school,,,,,,,,,,,,,,,,,,
2116,169,10,57,2,tested,interviewed,treatment,primary school,not in quota,not certified,0,0,1,-1.3696289,no bachelor's degree,0,no second job,0,1.14184,.28546,0,1.4273,yes,no,0,
2112,169,10,57,2,tested,interviewed,treatment,primary school,not in quota,not certified,0,0,0,-.71063119,no bachelor's degree,0,no second job,0,1.14184,.28546,0,1.4273,yes,no,0,
2114,169,10,57,2,tested,interviewed,treatment,primary school,not in quota,not certified,0,0,0,-.87538052,no bachelor's degree,0,no second job,0,1.204,0,0,1.204,yes,no,1,
2122,170,10,57,2,tested,interviewed,control,primary school,not in quota,not certified,0,0,1,-1.04013,no bachelor's degree,0,second job,6,2.2445,.31428,0,2.55878,yes,yes,1,
2132,170,10,57,2,tested,interviewed,control,primary school,not in quota,not certified,0,0,1,-1.04013,no bachelor's degree,0,no second job,0,2.7724,1.009336,0,3.7817359,yes,no,0,
2129,170,10,57,2,not tested,not interviewed,control,primary school,,,,0,1,,,,,,,,,,,,,
2130,170,10,57,2,not tested,not interviewed,control,primary school,,,,0,1,,,,,,,,,,,,,
2123,170,10,57,2,tested,interviewed,control,primary school,not in quota,not certified,0,0,1,.44261491,no bachelor's degree,0,no second job,0,1.14184,0,0,1.14184,no,yes,0,
2127,170,10,57,2,not tested,not interviewed,control,primary school,,,,1,0,,,,,,,,,,,,,
2121,170,10,57,2,not tested,not interviewed,control,primary school,,,,0,1,,,,,,,,,,,,,
2124,170,10,57,2,not tested,not interviewed,control,primary school,,,,1,0,,,,,,,,,,,,,
2131,170,10,57,2,not tested,interviewed,control,primary school,not in quota,not certified,0,0,1,,no bachelor's degree,0,no second job,0,1.14184,0,0,1.14184,no,no,0,
2128,170,10,57,2,tested,interviewed,control,primary school,not in quota,not certified,0,0,1,.11311606,no bachelor's degree,0,second job,0,0,0,0,0,yes,no,1,
2126,170,10,57,2,tested,not interviewed,control,primary school,,,0,0,1,-1.04013,,,,,,,,,,,,
2133,170,10,57,2,tested,interviewed,control,primary school,not in quota,not certified,0,0,0,.44261491,no bachelor's degree,0,second job,0,1.19,0,0,1.1900001,yes,yes,0,
2125,170,10,57,2,tested,interviewed,control,primary school,not in quota,not certified,0,0,0,-.87538052,no bachelor's degree,0,no second job,0,0,0,0,0,no,yes,0,
2140,171,10,57,2,tested,interviewed,control,primary school,not in quota,not certified,0,0,1,-1.04013,no bachelor's degree,0,no second job,0,1.6845,.23074,0,1.91524,yes,yes,0,
2141,171,10,57,2,tested,interviewed,control,primary school,not in quota,not certified,0,0,1,-1.5343783,no bachelor's degree,1,no second job,0,2.0023,.77652198,0,2.7788219,yes,yes,0,
2142,171,10,57,2,tested,interviewed,control,primary school,not in quota,not certified,0,0,1,-.71063119,no bachelor's degree,1,no second job,0,1.921,.80503201,0,2.726032,yes,no,0,
2143,171,10,57,2,not tested,not interviewed,control,primary school,,,0,0,1,,,,,,,,,,,,,
2135,171,10,57,2,tested,interviewed,control,primary school,in quota,certified,1,1,0,-.87538052,no bachelor's degree,0,no second job,0,2.82,.55229998,2.684,6.0563002,yes,no,0,2009
2139,171,10,57,2,tested,interviewed,control,primary school,not in quota,not certified,0,0,1,1.5958607,no bachelor's degree,0,second job,0,1.7558,.35712501,0,2.1129251,yes,no,1,
2137,171,10,57,2,not tested,interviewed,control,primary school,not in quota,not certified,0,0,0,,no bachelor's degree,0,no second job,0,1.14148,0,0,1.14148,no,yes,0,
2138,171,10,57,2,tested,not interviewed,control,primary school,,,,,,-1.5343783,,,,,,,,,,,,
2134,171,10,57,2,tested,interviewed,control,primary school,not in quota,not certified,0,0,0,-.54588163,no bachelor's degree,0,no second job,0,1.5027,0,0,1.5027,yes,yes,0,
2136,171,10,57,2,tested,interviewed,control,primary school,in quota,certified,1,1,0,-.87538052,no bachelor's degree,0,no second job,0,2.6224,.45228401,2,5.0746841,yes,yes,0,2009
2153,176,10,59,3,tested,interviewed,control,primary school,not in quota,not certified,0,1,0,.29102546,no bachelor's degree,0,no second job,0,2.45,1.2436,0,3.6935999,yes,yes,1,
2155,176,10,59,3,tested,interviewed,control,primary school,not in quota,not certified,0,0,1,-.63134134,no bachelor's degree,0,no second job,0,1.8431,.9526,0,2.7957001,yes,yes,0,
2156,176,10,59,3,tested,interviewed,control,primary school,not in quota,not certified,0,0,1,-.016430127,bachelor's degree,0,no second job,0,2.2406,.92640001,0,3.1670001,yes,yes,0,
2152,176,10,59,3,tested,interviewed,control,primary school,not in quota,not certified,0,0,0,-.47761339,no bachelor's degree,0,no second job,0,1.5027,.3062,0,1.8089,no,yes,0,
2157,176,10,59,3,tested,interviewed,control,primary school,not in quota,not certified,0,0,0,-1.0925245,no bachelor's degree,0,no second job,0,1.5663,.5147,0,2.0810001,yes,yes,0,
2154,176,10,59,3,tested,interviewed,control,primary school,not in quota,not certified,0,0,1,.75220919,no bachelor's degree,0,no second job,0,1.6845,1.0003,0,2.6848001,no,yes,0,
2158,176,10,59,3,tested,not interviewed,control,primary school,,,,,,.90593666,,,,,,,,,,,,
2162,177,10,59,3,tested,not interviewed,treatment,primary school,,,,0,1,-1.5537081,,,,,,,,,,,,
2166,177,10,59,3,tested,interviewed,treatment,primary school,not in quota,not certified,0,0,1,-2.3223472,no bachelor's degree,1,no second job,0,1.6276,1.935933,0,3.5635331,,no,0,
2164,177,10,59,3,tested,interviewed,treatment,primary school,not in quota,not certified,0,0,1,-1.8611637,no bachelor's degree,0,no second job,0,1.6113,1.083333,0,2.694633,yes,yes,1,
2160,177,10,59,3,tested,interviewed,treatment,primary school,not in quota,not certified,0,0,1,-1.8611637,no bachelor's degree,0,no second job,0,1.5774,1.871767,0,3.449167,yes,no,0,
2165,177,10,59,3,tested,not interviewed,treatment,primary school,,,,0,1,-1.7074358,,,,,,,,,,,,
2163,177,10,59,3,tested,interviewed,treatment,primary school,not in quota,not certified,0,0,1,-2.3223472,,0,second job,28,1.5999,1.083333,0,2.683233,yes,no,1,
2159,177,10,59,3,tested,interviewed,treatment,primary school,not in quota,not certified,0,0,0,-2.1686194,no bachelor's degree,0,no second job,0,2.2996,1.0604,0,3.3599999,yes,no,1,
2161,177,10,59,3,tested,interviewed,treatment,primary school,in quota,certified,0,1,0,-2.1686194,no bachelor's degree,0,second job,2,2.6411,1.083333,0,3.7244329,yes,yes,0,2010
2056,163,10,55,2,tested,interviewed,control,junior secondary school,not in quota,not certified,0,0,1,-1.384221,no bachelor's degree,0,no second job,0,1.5396,1.4605,0,3.0000999,yes,yes,0,
2054,163,10,55,2,not tested,not interviewed,control,junior secondary school,,,,,,,,,,,,,,,,,,
2055,163,10,55,2,tested,interviewed,control,junior secondary school,in quota,certified,1,0,0,-1.897542,bachelor's degree,0,second job,14,1.7259,1.808959,2.0514,5.5862589,yes,yes,0,2008
2053,163,10,55,2,tested,interviewed,control,junior secondary school,in quota,certified,1,1,0,-1.1593376,no bachelor's degree,0,no second job,0,,1.083333,1.666,,yes,yes,0,2009
2057,163,10,55,2,tested,interviewed,control,junior secondary school,not in quota,not certified,0,1,0,-.75830179,no bachelor's degree,0,no second job,0,2.6865,2.25911,0,4.94561,yes,yes,0,
2086,166,10,56,0,tested,interviewed,control,junior secondary school,not in quota,not certified,0,1,0,-1.6837802,bachelor's degree,,second job,12,1.4407,0,0,1.4407001,,,0,
2086,166,10,56,3,tested,interviewed,control,junior secondary school,not in quota,not certified,0,1,0,-1.357444,bachelor's degree,0,no second job,0,1.9,.29166701,0,2.1916671,no,yes,0,
2086,166,10,56,2,tested,interviewed,control,junior secondary school,not in quota,not certified,0,1,0,-2.1464686,bachelor's degree,0,no second job,0,1.9075,1.8293999,0,3.7368999,no,yes,1,
2085,166,10,56,2,not tested,not interviewed,control,junior secondary school,,,,0,1,,,,,,,,,,,,,
2085,166,10,56,0,tested,interviewed,control,junior secondary school,not in quota,not certified,0,0,1,-1.6837802,no bachelor's degree,,second job,0,1.1253,0,0,1.1253,,,1,
2085,166,10,56,3,tested,interviewed,control,junior secondary school,in quota,certified,1,0,1,-.66759545,no bachelor's degree,1,no second job,0,2.431,1.083333,2.216,5.7303329,yes,no,0,2009
2082,166,10,56,0,tested,interviewed,control,junior secondary school,not in quota,not certified,0,1,0,-1.6837802,no bachelor's degree,,second job,6,2.4907,0,0,2.4907,,,1,
2082,166,10,56,2,not tested,not interviewed,control,junior secondary school,,,,1,0,,,,,,,,,,,,,
2081,166,10,56,2,tested,interviewed,control,junior secondary school,not in quota,not certified,0,1,0,-1.1890469,no bachelor's degree,1,no second job,0,2.6224,2.190084,0,4.8124838,yes,no,0,
2081,166,10,56,0,tested,interviewed,control,junior secondary school,not in quota,not certified,0,1,0,-1.5464303,no bachelor's degree,,second job,0,2.3323,0,0,2.3322999,,,1,
2081,166,10,56,3,tested,interviewed,control,junior secondary school,in quota,not certified,0,1,0,-.88515568,no bachelor's degree,1,no second job,0,2.431,1.083333,0,3.514333,yes,no,0,2012
2084,166,10,56,2,tested,interviewed,control,junior secondary school,in quota,certified,1,1,0,-1.4535158,no bachelor's degree,0,no second job,0,2.6224,1.5218329,2.6144,6.7586331,no,yes,0,2009
2084,166,10,56,3,tested,interviewed,control,junior secondary school,in quota,certified,1,1,0,-1.3209621,no bachelor's degree,0,second job,9,2.431,1.083333,2.225,5.7393332,no,yes,0,2009
2084,166,10,56,0,tested,interviewed,control,junior secondary school,in quota,not certified,0,1,0,-1.5464303,no bachelor's degree,,no second job,0,2.3323,0,0,2.3322999,,,0,2009
2087,166,10,56,2,tested,interviewed,control,junior secondary school,not in quota,not certified,0,0,1,-1.861744,no bachelor's degree,1,no second job,0,1.8301,1.778445,0,3.6085451,no,yes,0,
2087,166,10,56,0,tested,interviewed,control,junior secondary school,not in quota,not certified,0,0,1,-2.5285733,no bachelor's degree,,second job,0,1.656,0,0,1.656,,,1,
2087,166,10,56,3,tested,interviewed,control,junior secondary school,not in quota,not certified,0,0,1,-2.6469893,no bachelor's degree,1,no second job,0,1.6276,1.083333,0,2.710933,yes,yes,0,
2083,166,10,56,3,tested,interviewed,control,junior secondary school,not in quota,not certified,0,0,1,-3.5269308,bachelor's degree,0,no second job,0,1.9962,1.125,0,3.1212001,yes,no,0,
2083,166,10,56,0,not tested,interviewed,control,junior secondary school,not in quota,not certified,0,0,1,,no bachelor's degree,,no second job,0,2.0806,0,0,2.0806,,,1,
2083,166,10,56,2,tested,interviewed,control,junior secondary school,not in quota,not certified,0,0,1,-1.5858836,no bachelor's degree,1,no second job,0,2.1907,1.998365,0,4.189065,yes,no,0,
2078,166,10,56,2,not tested,not interviewed,control,junior secondary school,,,,,,,,,,,,,,,,,,
2079,166,10,56,2,not tested,not interviewed,control,junior secondary school,,,,,,,,,,,,,,,,,,
2079,166,10,56,0,tested,not interviewed,control,junior secondary school,,,,,,1.3829174,,,,,,,,,,,,
2088,166,10,56,3,tested,interviewed,control,junior secondary school,not in quota,not certified,0,0,0,-.21537656,bachelor's degree,0,second job,,1.743,0,0,1.743,yes,yes,0,
2088,166,10,56,2,tested,interviewed,control,junior secondary school,not in quota,not certified,0,0,0,-.88205516,bachelor's degree,0,no second job,0,1.39472,.23450001,0,1.62922,yes,no,1,
2080,166,10,56,3,tested,interviewed,control,junior secondary school,not in quota,not certified,0,0,0,-1.163538,bachelor's degree,0,no second job,0,1.52184,0,0,1.52184,yes,yes,0,
2080,166,10,56,2,tested,interviewed,control,junior secondary school,not in quota,not certified,0,0,0,-1.4061925,bachelor's degree,0,no second job,0,0,0,0,0,no,yes,0,
2099,167,10,56,3,tested,interviewed,control,junior secondary school,in quota,certified,1,1,0,-.55262071,,0,no second job,0,,0,2,,no,yes,0,2009
2099,167,10,56,0,tested,interviewed,control,junior secondary school,in quota,not certified,0,1,0,-.58225864,no bachelor's degree,,no second job,0,1.7384,0,0,1.7384,,,0,2009
2099,167,10,56,2,tested,interviewed,control,junior secondary school,in quota,certified,1,1,0,-.87605578,no bachelor's degree,0,no second job,0,2.9494,.91260803,2.22024,6.0822482,yes,no,0,2010
2093,167,10,56,2,tested,interviewed,control,junior secondary school,in quota,certified,1,0,0,-1.0030971,bachelor's degree,0,no second job,0,1.629128,.61049998,2.678,4.9176278,yes,yes,1,2008
2093,167,10,56,0,tested,interviewed,control,junior secondary school,in quota,certified,1,0,0,-1.1330194,bachelor's degree,,no second job,0,1.3096,0,1.11316,2.42276,,,1,2007
2100,167,10,56,0,not tested,interviewed,control,junior secondary school,not in quota,not certified,0,1,0,,no bachelor's degree,,no second job,0,2.0475,0,0,2.0474999,,,0,
2100,167,10,56,3,tested,interviewed,control,junior secondary school,in quota,not certified,0,1,0,-.80135453,no bachelor's degree,0,second job,21,2.407,0,0,2.4070001,yes,,0,2012
2100,167,10,56,2,tested,interviewed,control,junior secondary school,not in quota,not certified,0,1,0,-1.3487908,no bachelor's degree,0,no second job,0,2.7928,1.006232,0,3.799032,yes,yes,0,
2101,167,10,56,2,not tested,not interviewed,control,junior secondary school,,,,0,1,,,,,,,,,,,,,
2101,167,10,56,0,tested,interviewed,control,junior secondary school,not in quota,not certified,0,0,1,-1.2557931,bachelor's degree,,no second job,0,.4,0,0,.40000001,,,0,
2098,167,10,56,0,not tested,interviewed,control,junior secondary school,not in quota,not certified,0,0,1,,no bachelor's degree,,no second job,0,1.535,0,0,1.535,,,0,
2098,167,10,56,3,tested,interviewed,control,junior secondary school,not in quota,not certified,0,0,1,-1.9013463,no bachelor's degree,0,no second job,0,,0,0,,yes,yes,0,
2098,167,10,56,2,tested,interviewed,control,junior secondary school,not in quota,not certified,0,0,1,-2.7866147,no bachelor's degree,0,no second job,0,1.8232,.767488,0,2.590688,yes,yes,1,
2089,167,10,56,0,tested,interviewed,control,junior secondary school,not in quota,not certified,0,0,1,-1.4835429,bachelor's degree,,no second job,0,.4,0,0,.40000001,,,1,
2089,167,10,56,2,not tested,not interviewed,control,junior secondary school,,,,0,1,,,,,,,,,,,,,
2091,167,10,56,0,tested,interviewed,control,junior secondary school,not in quota,not certified,0,1,0,-2.018379,no bachelor's degree,,no second job,0,1.7455,0,0,1.7455,,,0,
2091,167,10,56,2,not tested,not interviewed,control,junior secondary school,,,,1,0,,,,,,,,,,,,,
2097,167,10,56,0,tested,interviewed,control,junior secondary school,not in quota,not certified,0,1,0,-2.018379,no bachelor's degree,,no second job,0,1.636382,.85821199,0,2.4945941,,,0,
2097,167,10,56,2,tested,interviewed,control,junior secondary school,not in quota,not certified,0,1,0,-1.1593376,no bachelor's degree,0,second job,8,2.9884,1.087944,0,4.076344,yes,yes,0,
2097,167,10,56,3,not tested,interviewed,control,junior secondary school,in quota,not certified,0,1,0,,,0,second job,5,,0,0,,no,yes,0,2011
2102,167,10,56,2,not tested,not interviewed,control,junior secondary school,,,,0,1,,,,,,,,,,,,,
2102,167,10,56,0,not tested,interviewed,control,junior secondary school,not in quota,not certified,0,0,1,,bachelor's degree,,no second job,0,.2,0,0,.2,,,1,
2095,167,10,56,2,not tested,not interviewed,control,junior secondary school,,,,,,,,,,,,,,,,,,
2092,167,10,56,2,not tested,not interviewed,control,junior secondary school,,,,,,,,,,,,,,,,,,
2090,167,10,56,2,not tested,not interviewed,control,junior secondary school,,,,,,,,,,,,,,,,,,
2096,167,10,56,2,tested,interviewed,control,junior secondary school,not in quota,not certified,0,0,0,-1.713903,no bachelor's degree,0,no second job,0,2.9494,.44556001,0,3.3949599,yes,yes,0,
2096,167,10,56,3,tested,interviewed,control,junior secondary school,in quota,not certified,0,0,0,-2.3982995,,0,second job,12,,0,0,,no,yes,0,2012
2094,167,10,56,3,not tested,interviewed,control,junior secondary school,not in quota,not certified,0,0,0,,bachelor's degree,0,no second job,0,,0,0,,no,yes,1,
2065,164,10,55,2,tested,interviewed,control,junior secondary school,not in quota,not certified,0,0,1,-1.6383035,no bachelor's degree,0,no second job,0,2.46,.185,0,2.645,yes,yes,1,
2060,164,10,55,2,not tested,not interviewed,control,junior secondary school,,,,1,0,,,,,,,,,,,,,
2066,164,10,55,2,not tested,not interviewed,control,junior secondary school,,,,,,,,,,,,,,,,,,
2063,164,10,55,2,not tested,not interviewed,control,junior secondary school,,,,0,1,,,,,,,,,,,,,
2062,164,10,55,2,tested,interviewed,control,junior secondary school,not in quota,not certified,0,0,1,-1.5582407,no bachelor's degree,0,no second job,0,1.326,.5,0,1.826,yes,no,1,
2067,164,10,55,2,not tested,not interviewed,control,junior secondary school,,,,,,,,,,,,,,,,,,
2068,164,10,55,2,tested,interviewed,control,junior secondary school,in quota,certified,0,1,0,.64299875,no bachelor's degree,0,no second job,0,0,0,0,0,yes,yes,0,2009
2064,164,10,55,2,tested,interviewed,control,junior secondary school,in quota,certified,0,1,0,-.48244134,no bachelor's degree,0,no second job,0,2.8204,1.116531,0,3.9369311,yes,yes,1,2009
2069,164,10,55,2,tested,interviewed,control,junior secondary school,not in quota,not certified,0,0,1,-.48244134,no bachelor's degree,0,no second job,0,2.2996,.81814402,0,3.117744,yes,no,0,
2059,164,10,55,2,not tested,not interviewed,control,junior secondary school,,,,,,,,,,,,,,,,,,
2058,164,10,55,2,tested,interviewed,control,junior secondary school,in quota,certified,0,1,0,-3.5162394,no bachelor's degree,0,no second job,0,2.8204,1.139918,0,3.9603181,yes,yes,1,2009
2061,164,10,55,2,tested,interviewed,control,junior secondary school,not in quota,not certified,0,0,0,-1.681078,bachelor's degree,0,no second job,0,0,0,0,0,yes,yes,0,
2076,165,10,55,2,tested,interviewed,treatment,junior secondary school,not in quota,not certified,0,0,1,-1.0030971,bachelor's degree,0,no second job,0,0,0,0,0,yes,no,1,
2075,165,10,55,2,tested,interviewed,treatment,junior secondary school,not in quota,not certified,0,0,1,-.74901432,no bachelor's degree,0,no second job,0,1.9193,.41760001,0,2.3369,no,yes,0,
2074,165,10,55,2,tested,interviewed,treatment,junior secondary school,not in quota,not certified,0,0,1,-1.1984439,no bachelor's degree,0,no second job,0,2.2445,.64122999,0,2.88573,yes,no,0,
2077,165,10,55,2,tested,interviewed,treatment,junior secondary school,in quota,certified,0,1,0,-.32749015,no bachelor's degree,0,no second job,0,2.6224,.80898398,0,3.4313841,yes,yes,0,2009
2071,165,10,55,2,tested,interviewed,treatment,junior secondary school,in quota,certified,0,1,0,-1.7238138,no bachelor's degree,0,no second job,0,2.8204,1.069693,0,3.8900931,yes,yes,1,2009
2070,165,10,55,2,not tested,not interviewed,treatment,junior secondary school,,,,,,,,,,,,,,,,,,
2072,165,10,55,2,not tested,not interviewed,treatment,junior secondary school,,,,,,,,,,,,,,,,,,
2073,165,10,55,2,tested,interviewed,treatment,junior secondary school,in quota,certified,0,,,-1.681078,no bachelor's degree,0,no second job,0,2.6868,1.023706,0,3.710506,yes,yes,1,2010
2105,168,10,56,2,not tested,not interviewed,treatment,junior secondary school,,,,1,0,,,,,,,,,,,,,
2105,168,10,56,0,tested,interviewed,treatment,junior secondary school,not in quota,not certified,0,1,0,-1.5001932,bachelor's degree,,second job,5,.1,0,0,.1,,,0,
2107,168,10,56,3,tested,not interviewed,treatment,junior secondary school,,,,0,1,-.94054562,,,,,,,,,,,,
2107,168,10,56,0,not tested,interviewed,treatment,junior secondary school,not in quota,not certified,0,0,1,,no bachelor's degree,,second job,3,1.6965,0,0,1.6964999,,,1,
2107,168,10,56,2,tested,interviewed,treatment,junior secondary school,not in quota,not certified,0,0,1,-1.4810251,no bachelor's degree,0,second job,5,2.009,.83450001,0,2.8434999,yes,no,1,
2110,168,10,56,2,tested,interviewed,treatment,junior secondary school,in quota,certified,1,1,0,-2.909452,no bachelor's degree,0,second job,3,3.2894,1.0687259,2.688,7.0461259,yes,yes,0,2008
2110,168,10,56,0,tested,interviewed,treatment,junior secondary school,in quota,not certified,0,1,0,-2.4897463,no bachelor's degree,,second job,4,2.2996,0,0,2.2995999,,,0,2009
2110,168,10,56,3,tested,interviewed,treatment,junior secondary school,in quota,certified,1,1,0,-3.1121178,no bachelor's degree,0,no second job,0,3.186,1.054,3.186,7.4260001,yes,yes,0,2009
2106,168,10,56,0,tested,interviewed,treatment,junior secondary school,not in quota,not certified,0,0,1,-2.5285733,no bachelor's degree,,no second job,0,1.3021,0,0,1.3020999,,,1,
2106,168,10,56,2,tested,interviewed,treatment,junior secondary school,not in quota,not certified,0,0,1,-1.0206965,no bachelor's degree,0,no second job,0,1.8492,.771128,0,2.6203279,yes,no,0,
2106,168,10,56,3,tested,interviewed,treatment,junior secondary school,not in quota,not certified,0,0,1,-.61227179,no bachelor's degree,0,,,1.9002,.53979999,0,2.4400001,yes,no,1,
2109,168,10,56,3,tested,interviewed,treatment,junior secondary school,in quota,certified,1,1,0,-1.6413419,no bachelor's degree,0,second job,15,2.87,1.131,2.8,6.8010001,no,yes,0,2009
2109,168,10,56,2,tested,interviewed,treatment,junior secondary school,in quota,certified,0,1,0,-1.4479533,no bachelor's degree,0,no second job,0,2.87,1.131,0,4.0009999,yes,no,0,2010
