teacher_id,school_id,district_id,triplet_id,year,treatment,SD,g_score,TARGET,ALREADYCERTIFIED,NOTELIGIBLE,S1,rank4,PAID,base_pay,additional_pay,certification_pay,secondjob,secondjobhours,quota
2869,232,13,78,0,control,primary school,.31111112,,,0,,,,,,,,,
2874,232,13,78,0,control,primary school,.35555556,,,,,,,,,,,,
2786,223,13,75,0,control,primary school,,1,0,0,no bachelor's degree,rank 4,0,2.5518,.51407599,0,no second job,0,not in quota
2787,223,13,75,0,control,primary school,.53333336,1,0,0,no bachelor's degree,rank 4,0,2.8118,.85332102,0,no second job,0,not in quota
2781,223,13,75,0,control,primary school,.42222223,0,0,1,no bachelor's degree,no rank 4,0,.35,0,0,no second job,0,not in quota
2788,223,13,75,0,control,primary school,.64444447,0,0,1,bachelor's degree,no rank 4,0,.25,0,0,no second job,0,not in quota
2782,223,13,75,0,control,primary school,.55555558,1,0,0,no bachelor's degree,rank 4,0,2.431,.80462003,0,second job,0,not in quota
2784,223,13,75,0,control,primary school,.80000001,0,1,0,bachelor's degree,no rank 4,1,2.0308,.78061098,1.44,no second job,0,in quota
2789,223,13,75,0,control,primary school,.42222223,,,,,,,,,,,,
2834,228,13,76,0,treatment,primary school,.37777779,0,0,1,no bachelor's degree,no rank 4,0,2.3323,.73377597,0,no second job,0,not in quota
2829,228,13,76,0,treatment,primary school,.40000001,0,0,1,no bachelor's degree,no rank 4,0,1.403,.3283,0,no second job,0,not in quota
2830,228,13,76,0,treatment,primary school,.5777778,1,0,0,bachelor's degree,rank 4,0,2.3727,.890378,0,second job,0,in quota
2832,228,13,76,0,treatment,primary school,.48888889,0,1,0,bachelor's degree,rank 4,1,2.6144,.92421597,1.86592,no second job,0,in quota
2828,228,13,76,0,treatment,primary school,.42222223,1,0,0,no bachelor's degree,rank 4,0,2.5518,.82211602,0,no second job,0,in quota
2833,228,13,76,0,treatment,primary school,.44444445,1,0,0,bachelor's degree,no rank 4,0,1.4982,.664648,0,no second job,0,in quota
2827,228,13,76,0,treatment,primary school,,0,1,0,bachelor's degree,rank 4,1,2.49,1.017898,1.85,second job,2,in quota
2843,229,13,77,0,control,primary school,,0,0,1,no bachelor's degree,no rank 4,0,1.6676,.688034,0,no second job,0,not in quota
2836,229,13,77,0,control,primary school,.71111113,0,0,1,no bachelor's degree,no rank 4,0,1.4982,.59268397,0,no second job,0,not in quota
2837,229,13,77,0,control,primary school,.53333336,1,0,0,no bachelor's degree,rank 4,0,2.8118,.90955198,0,no second job,0,not in quota
2842,229,13,77,0,control,primary school,.53333336,1,0,0,bachelor's degree,rank 4,0,2.8118,.89037198,0,no second job,0,not in quota
2841,229,13,77,0,control,primary school,.71111113,1,0,0,bachelor's degree,no rank 4,0,1.9484,.36930001,0,no second job,0,not in quota
2838,229,13,77,0,control,primary school,.64444447,1,0,0,bachelor's degree,rank 4,0,2.431,.89354002,0,no second job,0,not in quota
2840,229,13,77,0,control,primary school,,0,0,1,bachelor's degree,no rank 4,0,.1,0,0,no second job,0,not in quota
2792,224,13,75,0,treatment,primary school,.51111114,1,0,0,no bachelor's degree,rank 4,0,2.6786,.83733201,0,no second job,0,in quota
2794,224,13,75,0,treatment,primary school,.22222222,1,0,0,no bachelor's degree,rank 4,0,2.7444,.94241601,0,no second job,0,in quota
2790,224,13,75,0,treatment,primary school,.5777778,1,0,0,no bachelor's degree,rank 4,0,2.5518,.915452,0,no second job,0,in quota
2795,224,13,75,0,treatment,primary school,.53333336,0,0,1,no bachelor's degree,no rank 4,0,2.2764,.36930001,0,no second job,0,not in quota
2799,224,13,75,0,treatment,primary school,.48888889,0,1,0,bachelor's degree,no rank 4,1,2.1841,.801974,1.523,no second job,0,in quota
2797,224,13,75,0,treatment,primary school,.46666667,1,0,0,no bachelor's degree,rank 4,0,2.6786,.83733201,0,no second job,0,in quota
2844,230,13,77,0,control,primary school,.40000001,0,0,1,no bachelor's degree,no rank 4,0,.15,0,0,no second job,0,not in quota
2853,230,13,77,0,control,primary school,.33333334,0,0,1,no bachelor's degree,no rank 4,0,.15,0,0,no second job,0,not in quota
2847,230,13,77,0,control,primary school,.22222222,1,0,0,no bachelor's degree,rank 4,0,2.5518,.90945202,0,second job,2,not in quota
2852,230,13,77,0,control,primary school,.31111112,1,0,0,bachelor's degree,no rank 4,0,2.3323,.82272202,0,no second job,0,not in quota
2850,230,13,77,0,control,primary school,.40000001,1,0,0,no bachelor's degree,rank 4,0,2.5518,.855452,0,no second job,0,not in quota
2846,230,13,77,0,control,primary school,.35555556,1,0,0,no bachelor's degree,rank 4,0,2.6144,.87192798,0,no second job,0,not in quota
2851,230,13,77,0,control,primary school,.33333334,,,,,,,,,,,,
2848,230,13,77,0,control,primary school,.2888889,,,,,,,,,,,,
2845,230,13,77,0,control,primary school,.33333334,,0,,,,0,,,,,,
2849,230,13,77,0,control,primary school,.37777779,,,0,,,,,,,,,
2858,231,13,77,0,treatment,primary school,.5777778,0,0,1,no bachelor's degree,no rank 4,0,1.8693,.75790203,0,no second job,0,not in quota
2859,231,13,77,0,treatment,primary school,.55555558,1,0,0,no bachelor's degree,rank 4,0,2.6786,.93321002,0,no second job,0,in quota
2860,231,13,77,0,treatment,primary school,.2888889,1,0,0,no bachelor's degree,rank 4,0,2.7444,.84522802,0,second job,0,in quota
2857,231,13,77,0,treatment,primary school,.51111114,0,0,1,no bachelor's degree,no rank 4,0,1.9962,.77566803,0,no second job,0,not in quota
2856,231,13,77,0,treatment,primary school,.62222224,0,0,1,no bachelor's degree,no rank 4,0,1.7085,.3283,0,second job,1,not in quota
2861,231,13,77,0,treatment,primary school,.77777779,1,0,0,bachelor's degree,no rank 4,0,1.9017,.762438,0,no second job,0,in quota
2855,231,13,77,0,treatment,primary school,.5777778,0,1,0,bachelor's degree,rank 4,1,2.431,1.01954,1.654,no second job,0,in quota
2882,233,13,78,0,control,primary school,.64444447,1,0,0,no bachelor's degree,rank 4,0,2.7444,.69241601,0,second job,0,not in quota
2876,233,13,78,0,control,primary school,.60000002,0,0,1,no bachelor's degree,no rank 4,0,1.4374,.65723598,0,no second job,0,not in quota
2879,233,13,78,0,control,primary school,.60000002,0,0,1,no bachelor's degree,no rank 4,0,2.3323,.88272202,0,no second job,0,not in quota
2875,233,13,78,0,control,primary school,.40000001,1,0,0,bachelor's degree,rank 4,0,2.49007,.90689802,0,no second job,0,in quota
2877,233,13,78,0,control,primary school,.60000002,1,0,0,bachelor's degree,rank 4,0,2.5518,.915452,0,second job,2,in quota
2880,233,13,78,0,control,primary school,.73333335,1,0,0,bachelor's degree,no rank 4,0,2.1317,.79463702,0,no second job,0,not in quota
2878,233,13,78,0,control,primary school,.60000002,0,0,1,,,0,,,,,,
2885,234,13,78,0,treatment,primary school,.46666667,0,0,1,no bachelor's degree,no rank 4,0,2.3896,.83021402,0,no second job,0,not in quota
2886,234,13,78,0,treatment,primary school,.44444445,0,0,1,no bachelor's degree,no rank 4,0,2.2377,.80947,0,second job,8,not in quota
2894,234,13,78,0,treatment,primary school,.37777779,1,0,0,no bachelor's degree,rank 4,0,2.6786,.43138,0,no second job,0,in quota
2884,234,13,78,0,treatment,primary school,.44444445,1,0,0,no bachelor's degree,rank 4,0,2.7444,.74808401,0,second job,11,not in quota
2888,234,13,78,0,treatment,primary school,.44444445,1,0,0,no bachelor's degree,rank 4,0,2.6144,.82971197,0,second job,10,in quota
2890,234,13,78,0,treatment,primary school,.42222223,1,0,0,bachelor's degree,no rank 4,0,2.3323,.82278198,0,no second job,0,in quota
2889,234,13,78,0,treatment,primary school,.46666667,,,,,,,,,,,,
2895,234,13,78,0,treatment,primary school,.44444445,,,,,,,,,,,,
2887,234,13,78,0,treatment,primary school,.53333336,0,0,1,,,0,,,,,,
2892,234,13,78,0,treatment,primary school,.42222223,,,0,,,,,,,,,
2891,234,13,78,0,treatment,primary school,.46666667,0,0,1,,,0,,,,,,
2893,234,13,78,0,treatment,primary school,.44444445,,,,,,,,,,,,
2883,234,13,78,0,treatment,primary school,.46666667,0,0,1,,,0,,,,,,
2800,225,13,75,0,control,primary school,.35555556,1,0,0,no bachelor's degree,rank 4,0,2.8118,.75477999,0,no second job,0,not in quota
2802,225,13,75,0,control,primary school,.46666667,1,0,0,no bachelor's degree,rank 4,0,2.7444,.94241601,0,no second job,0,not in quota
2804,225,13,75,0,control,primary school,.31111112,1,0,0,no bachelor's degree,rank 4,0,2.6786,.43130001,0,no second job,0,not in quota
2805,225,13,75,0,control,primary school,.51111114,1,0,0,bachelor's degree,rank 4,0,2.7444,.94241601,0,second job,39,not in quota
2806,225,13,75,0,control,primary school,.5777778,0,0,1,no bachelor's degree,no rank 4,0,2.3323,.72943002,0,no second job,0,not in quota
2801,225,13,75,0,control,primary school,.40000001,1,0,0,bachelor's degree,no rank 4,0,2.3323,.82272202,0,no second job,0,not in quota
2803,225,13,75,0,control,primary school,.26666668,,,,,,,,,,,,
2807,225,13,75,0,control,primary school,.46666667,,,0,,,,,,,,,
2683,217,13,73,0,treatment,junior secondary school,.7241379,0,1,0,bachelor's degree,rank 4,1,2.5518,.60229999,1.82308,no second job,0,in quota
2681,217,13,73,0,treatment,junior secondary school,.79310346,1,0,0,bachelor's degree,no rank 4,0,2.1167,0,0,second job,0,in quota
2688,217,13,73,0,treatment,junior secondary school,.93103451,1,0,0,bachelor's degree,no rank 4,0,1.7388,.243334,0,second job,2,in quota
2686,217,13,73,0,treatment,junior secondary school,.60000002,1,0,0,bachelor's degree,no rank 4,0,2.2764,.498696,0,second job,12,in quota
2687,217,13,73,0,treatment,junior secondary school,.56666666,0,1,0,bachelor's degree,rank 4,1,1.9821,.77369398,1.4,second job,16,in quota
2689,217,13,73,0,treatment,junior secondary school,.5,0,1,0,bachelor's degree,no rank 4,1,1.7381,.66247201,1.223,no second job,0,in quota
2682,217,13,73,0,treatment,junior secondary school,.69230771,1,0,0,no bachelor's degree,no rank 4,0,2.3323,.82272202,0,no second job,0,in quota
2684,217,13,73,0,treatment,junior secondary school,.64102566,1,0,0,bachelor's degree,no rank 4,0,1.9346,.36930001,0,no second job,0,in quota
2680,217,13,73,0,treatment,junior secondary school,.24242425,1,0,0,bachelor's degree,no rank 4,0,1.9346,.76704401,0,no second job,0,in quota
2679,217,13,73,0,treatment,junior secondary school,.30303031,1,0,0,bachelor's degree,no rank 4,0,.265,.0099999998,0,second job,21,in quota
2745,220,13,74,0,control,junior secondary school,.68965518,1,0,0,bachelor's degree,no rank 4,0,2.2764,.72706801,0,no second job,0,not in quota
2738,220,13,74,0,control,junior secondary school,.79310346,1,0,0,bachelor's degree,no rank 4,0,2.1167,.70790398,0,no second job,0,not in quota
2742,220,13,74,0,control,junior secondary school,.79310346,1,0,0,bachelor's degree,no rank 4,0,1.9871,.77369398,0,no second job,0,not in quota
2735,220,13,74,0,control,junior secondary school,.68965518,1,0,0,bachelor's degree,no rank 4,0,.425,0,0,second job,35,not in quota
2747,220,13,74,0,control,junior secondary school,.82758623,1,0,0,no bachelor's degree,rank 4,0,2.4907,.90689802,0,no second job,0,not in quota
2732,220,13,74,0,control,junior secondary school,,0,1,0,bachelor's degree,rank 4,1,2.6786,1.1042041,1.90978,no second job,0,in quota
2741,220,13,74,0,control,junior secondary school,,1,0,0,bachelor's degree,no rank 4,0,1.7381,.73953402,0,no second job,0,not in quota
2750,220,13,74,0,control,junior secondary school,,0,0,1,bachelor's degree,no rank 4,0,.475,0,0,no second job,0,not in quota
2733,220,13,74,0,control,junior secondary school,,1,0,0,bachelor's degree,no rank 4,0,.34,0,0,no second job,0,not in quota
2752,220,13,74,0,control,junior secondary school,.75862068,0,1,0,bachelor's degree,rank 4,1,2.3159,.88242602,1.6614,no second job,0,in quota
2731,220,13,74,0,control,junior secondary school,.26666668,0,0,1,bachelor's degree,no rank 4,0,.368,0,0,no second job,0,not in quota
2743,220,13,74,0,control,junior secondary school,,1,0,0,bachelor's degree,no rank 4,0,1.5999,.53059,0,no second job,0,not in quota
2737,220,13,74,0,control,junior secondary school,.7241379,1,0,0,no bachelor's degree,rank 4,0,2.4907,.81199998,0,no second job,0,not in quota
2744,220,13,74,0,control,junior secondary school,.66666669,1,0,0,no bachelor's degree,rank 4,0,2.5518,.915452,0,second job,3,not in quota
2755,220,13,74,0,control,junior secondary school,.66666669,1,0,0,bachelor's degree,rank 4,0,2.4,0,0,second job,3,not in quota
2748,220,13,74,0,control,junior secondary school,.58974361,0,0,1,bachelor's degree,no rank 4,0,.34,0,0,no second job,0,not in quota
2740,220,13,74,0,control,junior secondary school,.61538464,0,0,1,bachelor's degree,no rank 4,0,.34,0,0,second job,24,not in quota
2753,220,13,74,0,control,junior secondary school,.61538464,1,0,0,bachelor's degree,no rank 4,0,1.9484,.36930001,0,no second job,0,not in quota
2749,220,13,74,0,control,junior secondary school,.57575756,1,0,0,bachelor's degree,rank 4,0,2.431,.89854002,0,no second job,0,in quota
2754,220,13,74,0,control,junior secondary school,.66666669,0,0,1,bachelor's degree,no rank 4,0,.4,0,0,no second job,0,not in quota
2736,220,13,74,0,control,junior secondary school,.45454547,0,0,1,bachelor's degree,no rank 4,0,.34,0,0,second job,6,not in quota
2746,220,13,74,0,control,junior secondary school,.60606062,1,0,0,bachelor's degree,no rank 4,0,1.7808,.74551201,0,second job,21,not in quota
2730,220,13,74,0,control,junior secondary school,.36363637,1,0,0,bachelor's degree,no rank 4,0,.25,0,0,second job,0,not in quota
2734,220,13,74,0,control,junior secondary school,.4848485,0,1,0,bachelor's degree,rank 4,1,2.3159,.88242602,1.7,second job,22,in quota
2760,221,13,74,0,control,junior secondary school,.68965518,1,0,0,bachelor's degree,no rank 4,0,1.7381,.53557199,0,no second job,0,not in quota
2759,221,13,74,0,control,junior secondary school,.68965518,0,1,0,bachelor's degree,no rank 4,1,1.7808,.32699999,1.28,no second job,0,in quota
2764,221,13,74,0,control,junior secondary school,.46666667,1,0,0,bachelor's degree,no rank 4,0,1.9622,.79792798,0,second job,3,not in quota
2758,221,13,74,0,control,junior secondary school,,1,0,0,bachelor's degree,no rank 4,0,.12,.2,0,no second job,0,not in quota
2762,221,13,74,0,control,junior secondary school,.38461539,0,1,0,bachelor's degree,rank 4,1,2.5518,.746252,2,second job,2,in quota
2768,221,13,74,0,control,junior secondary school,.69230771,0,1,0,bachelor's degree,rank 4,1,2.431,.72934002,1.78,second job,0,in quota
2766,221,13,74,0,control,junior secondary school,.42424244,1,0,0,bachelor's degree,no rank 4,0,2.2764,.81489599,0,second job,7,not in quota
2761,221,13,74,0,control,junior secondary school,.54545456,1,0,0,bachelor's degree,no rank 4,0,.21,0,0,second job,4,not in quota
2765,221,13,74,0,control,junior secondary school,,0,1,0,bachelor's degree,rank 4,1,2.431,1.06954,1.8,no second job,0,in quota
2693,218,13,73,0,control,junior secondary school,.34482759,0,1,0,bachelor's degree,no rank 4,1,1.7381,.73953402,1.2825,no second job,0,in quota
2692,218,13,73,0,control,junior secondary school,.46666667,1,0,0,bachelor's degree,no rank 4,0,.12,0,0,second job,3,not in quota
2695,218,13,73,0,control,junior secondary school,.41025642,0,1,0,bachelor's degree,rank 4,1,2.4907,1.077898,1.82308,no second job,0,in quota
2690,218,13,73,0,control,junior secondary school,.51282054,1,0,0,bachelor's degree,no rank 4,0,1.7381,.73953402,0,second job,12,not in quota
2694,218,13,73,0,control,junior secondary school,.36363637,1,0,0,bachelor's degree,no rank 4,0,1.7381,.73955798,0,no second job,0,not in quota
2726,219,13,73,0,control,junior secondary school,.48275861,1,0,0,bachelor's degree,rank 4,0,2.431,1.29854,0,second job,12,in quota
2712,219,13,73,0,control,junior secondary school,.55172414,1,0,0,bachelor's degree,rank 4,0,2.3727,.88977802,0,second job,2,in quota
2722,219,13,73,0,control,junior secondary school,.48275861,1,0,0,bachelor's degree,rank 4,0,2.3722,.891078,0,no second job,0,not in quota
2723,219,13,73,0,control,junior secondary school,,0,1,0,bachelor's degree,rank 4,1,2.4907,1.077898,1.78126,no second job,0,in quota
2714,219,13,73,0,control,junior secondary school,.31034482,0,0,1,bachelor's degree,no rank 4,0,.375,0,0,second job,3,not in quota
2700,219,13,73,0,control,junior secondary school,,1,0,0,bachelor's degree,no rank 4,0,.35,0,0,second job,11,not in quota
2717,219,13,73,0,control,junior secondary school,.83333331,0,1,0,bachelor's degree,rank 4,1,2.2604,.787148,1.78,no second job,0,in quota
2703,219,13,73,0,control,junior secondary school,.58620691,0,1,0,bachelor's degree,rank 4,1,2.4907,.93180501,1.876,no second job,0,in quota
2701,219,13,73,0,control,junior secondary school,.51724136,1,0,0,no bachelor's degree,rank 4,0,2.4907,.43130001,0,no second job,0,not in quota
2707,219,13,73,0,control,junior secondary school,.62068963,1,0,0,no bachelor's degree,rank 4,0,2.431,.89854002,0,no second job,0,not in quota
2697,219,13,73,0,control,junior secondary school,.83333331,1,0,0,bachelor's degree,no rank 4,0,2.1687,.36930001,0,no second job,0,not in quota
2724,219,13,73,0,control,junior secondary school,.86206895,1,0,0,bachelor's degree,no rank 4,0,1.8561,0,0,no second job,0,not in quota
2708,219,13,73,0,control,junior secondary school,.75862068,1,0,0,bachelor's degree,no rank 4,0,.5,0,0,second job,14,not in quota
2718,219,13,73,0,control,junior secondary school,.37931034,1,0,0,bachelor's degree,no rank 4,0,.625,0,0,second job,6,in quota
2710,219,13,73,0,control,junior secondary school,.87179488,1,0,0,bachelor's degree,rank 4,0,2.2062,.86106801,0,second job,4,not in quota
2699,219,13,73,0,control,junior secondary school,.84615386,1,0,0,no bachelor's degree,rank 4,0,2.3727,.43130001,0,no second job,0,not in quota
2725,219,13,73,0,control,junior secondary school,.35897437,1,0,0,bachelor's degree,rank 4,0,2.3159,.87642598,0,second job,5,not in quota
2716,219,13,73,0,control,junior secondary school,.79487181,1,0,0,bachelor's degree,no rank 4,0,2.066,.76444,0,no second job,0,not in quota
2728,219,13,73,0,control,junior secondary school,.64102566,1,0,0,bachelor's degree,no rank 4,0,1.8693,.75,0,second job,4,not in quota
2704,219,13,73,0,control,junior secondary school,.69230771,0,1,0,bachelor's degree,no rank 4,1,1.7808,.66759598,1.425,no second job,0,in quota
2713,219,13,73,0,control,junior secondary school,.5151515,1,0,0,bachelor's degree,rank 4,0,2.3727,.43130001,0,no second job,0,not in quota
2727,219,13,73,0,control,junior secondary school,.54545456,1,0,0,bachelor's degree,rank 4,0,2.2604,.87465602,0,no second job,0,not in quota
2711,219,13,73,0,control,junior secondary school,.42424244,1,0,0,no bachelor's degree,rank 4,0,2.3727,.69037801,0,second job,4,not in quota
2709,219,13,73,0,control,junior secondary school,.39393941,1,0,0,bachelor's degree,no rank 4,0,1.7381,.66247201,0,no second job,0,not in quota
2715,219,13,73,0,control,junior secondary school,,1,0,0,bachelor's degree,no rank 4,0,.3,0,0,second job,8,not in quota
2702,219,13,73,0,control,junior secondary school,.36363637,1,0,0,bachelor's degree,no rank 4,0,.2,0,0,no second job,0,not in quota
2721,219,13,73,0,control,junior secondary school,.69696969,1,0,0,bachelor's degree,no rank 4,0,2.056,.78544003,0,second job,4,not in quota
2698,219,13,73,0,control,junior secondary school,.31034482,,,,,,,,,,,,
2778,222,13,74,0,treatment,junior secondary school,.68965518,1,0,0,bachelor's degree,rank 4,0,2.4907,.90693903,0,second job,0,not in quota
2779,222,13,74,0,treatment,junior secondary school,.62068963,0,1,0,bachelor's degree,no rank 4,1,1.7381,.36930999,1.253325,no second job,0,in quota
2774,222,13,74,0,treatment,junior secondary school,.55172414,0,1,0,bachelor's degree,rank 4,1,2.4907,.90689802,1.865,second job,21,in quota
2772,222,13,74,0,treatment,junior secondary school,,0,1,0,bachelor's degree,rank 4,1,2.431,.89863402,1.78,second job,12,in quota
2777,222,13,74,0,treatment,junior secondary school,.69230771,1,0,0,bachelor's degree,no rank 4,0,2.2764,.72715598,0,no second job,0,in quota
2776,222,13,74,0,treatment,junior secondary school,.35897437,1,0,0,bachelor's degree,no rank 4,0,1.9622,.77190799,0,second job,10,not in quota
2775,222,13,74,0,treatment,junior secondary school,.75757575,1,0,0,bachelor's degree,rank 4,0,2.1687,.36937001,0,no second job,0,in quota
2771,222,13,74,0,treatment,junior secondary school,.72727275,1,0,0,bachelor's degree,rank 4,0,2.431,.89863402,0,no second job,0,in quota
2773,222,13,74,0,treatment,junior secondary school,.75862068,,,,,,,,,,,,
1216,97,6,33,0,control,primary school,.37777779,1,0,0,no bachelor's degree,no rank 4,0,.9,0,0,no second job,0,not in quota
1220,97,6,33,0,control,primary school,.31111112,0,1,0,bachelor's degree,rank 4,1,2.6786,.33058,1.8833,no second job,0,in quota
1213,97,6,33,0,control,primary school,.66666669,0,0,1,no bachelor's degree,no rank 4,0,1,0,0,no second job,0,not in quota
1212,97,6,33,0,control,primary school,.2888889,0,1,0,bachelor's degree,rank 4,0,2.431,.79566801,0,no second job,0,in quota
1218,97,6,33,0,control,primary school,.62222224,0,0,1,bachelor's degree,no rank 4,0,1,0,0,second job,15,not in quota
1223,97,6,33,0,control,primary school,.46666667,1,0,0,bachelor's degree,rank 4,0,2.3159,.77954602,0,no second job,0,not in quota
1215,97,6,33,0,control,primary school,,1,0,0,bachelor's degree,rank 4,0,2.431,.933662,0,no second job,0,not in quota
1232,98,6,33,0,control,primary school,.37777779,1,0,0,no bachelor's degree,rank 4,0,2.7444,.64660001,0,no second job,0,not in quota
1230,98,6,33,0,control,primary school,.46666667,1,0,0,no bachelor's degree,rank 4,0,2.5518,.71995598,0,no second job,0,not in quota
1229,98,6,33,0,control,primary school,.17777778,1,0,0,no bachelor's degree,rank 4,0,2.4907,.80401802,0,second job,3,not in quota
1225,98,6,33,0,control,primary school,,1,0,0,no bachelor's degree,rank 4,0,2.7444,.74306798,0,no second job,0,not in quota
1227,98,6,33,0,control,primary school,.68888891,1,0,0,,,0,,,,,,
